Nome Escola,IDHM
INSTITUTO DE ENSINO YESHIVA TMIMIM,0.6977058823529412
MAPLE BEAR CANADIAN SCHOOL SAO MIGUEL,0.6934166666666667
COLEGIO NEGREIROS UNIDADE II,0.6652340425531914
ESC PART EDUCANDARIO MODELO III,0.8977
ESC PART RL KIDS PRIMEIRA INFANCIA,0.697060606060606
ESCOLA BILINGUE PUERI DOMUS UNIDADE III PERDIZES,0.8977
ESC PART HAPPY DAY ESCOLA,0.8719285714285715
ESC PART BEE KIDS ESCOLA,0.9119565217391304
ESC PART BAOBA BRASIL ESCOLA,0.7521153846153846
ESC PART COLEGIO SANTA JULIA BABY,0.7743658536585366
CEU AT COM NOVO MUNDO,0.7743658536585366
ESC PART CARROSSEL FELIZ E E I,0.6898333333333333
CEU AT COM MONTE SERRAT,0.7838
CEU CEMEI MONTE SERRAT,0.7838
CEU AT COM HORIZONTE AZUL,0.7838
CR P CONV ZE COLMEIA,0.7521153846153846
COLEGIO RECREAR,0.75255
MAPLE BEAR CANADIAN SCHOOL MORUMBI PANAMBY,0.7473157894736842
ESCOLA INTERNACIONAL DO IPIRANGA,0.7521153846153846
CCA SANTO ANTONIO II,0.7070833333333333
CENTRO EDUCACIONAL A MAR,0.8022272727272728
ESC PART AFFECTIO MATER ESCOLA,0.75255
ESC PART CDB - CENTRO DE DESENVOLVIMENTO PARA BEBES,0.8737777777777778
NUCLEO EDUCACIONAL CALIANDRA,0.7521153846153846
CENTRO DE ENSINO GRAU TECNICO UNIDADE VILA MARIA,0.7743658536585366
ESC PART FADELITO CAMPO BELO,0.8113181818181818
ESC PART WINDOWE BILINGUAL SCHOOL,0.9293750000000001
ESC PART CUBE CHILD ACADEMY,0.82375
ESC PART PALAVRA VIVA COLEGIO,0.7916428571428572
CR P CONV VOVO DEDE,0.6940000000000001
ESC PART PEQUENO URSO,0.7177777777777777
ESC PART COLEGIO IREI,0.884
ESC PART ESCOLA JARDINS,0.9056666666666667
CR P CONV TIA NARA,0.7622432432432432
CR P CONV CARINHA DE ANJO,0.7186301369863014
CR P CONV ESTRELINHAS DO FUTURO III,0.6687931034482758
CR P CONV BEM QUERER III,0.659
CR P CONV ELOHIM,0.7061666666666667
ESCOLA SENAI DR CELSO CHARURI UNIDADE BOM RETIRO,0.6977058823529412
CR P CONV IMMANUEL,0.7586224489795919
CR P CONV PEQUENAS ESTRELAS IV,0.7186301369863014
CR P CONV JOSE HO PADRE,0.6977058823529412
CR P CONV MENSAGEM DE PAZ TERESA LISIEUX,0.7916428571428572
APRIMORAR EDUCACIONAL,0.884
COLEGIO HELENA DE CASTRO,0.7916428571428572
MONICA S INTERNATIONAL SCHOOL MONTESSORI,0.8737777777777778
COLEGIO EVANGELICO DE ITAQUERA,0.7070833333333333
RED HOUSE INTERNATIONAL SCHOOL VILLA LOBOS,0.7177777777777777
ESCOLA NOVA LOURENCO CASTANHO,0.8737777777777778
ESC PART COLEGIO BRASIL CANADA - UNIDADE PINHEIROS,0.9245555555555556
ESC PART MAPLE BEAR CANADIAN SCHOOL CLUBE PAINEIRAS DO MORUMBY,0.7618666666666667
ESPACO EKOA,0.846625
COLEGIO BELA VISTA UNIDADE II,0.7865333333333333N
ESCOLA MAIS EDUCACAO SA,0.7814411764705882
ESCOLA MAIS UNIDADE VILA ANDRADE,0.7473157894736842
ESC PART BLUEBE SCHOOL,0.9175
ESCOLA DE CURSOS TECNICOS E PROFISSIONALIZANTES AGAPHE,0.71225
ESC PART ESCOLA VIVART,0.8719285714285715
ESC PART CASTELO PEQUENO MUNDO E E I,0.6355454545454545
JOAO SUSSUMU HIRATA DEPUTADO,0.678825
PEDRO VIRIATO PARIGOT DE SOUZA ENGENHEIRO,0.6687931034482758
ANISIO TEIXEIRA PROFESSOR,0.7070833333333333
JOAQUIM EUGENIO LIMA NETO,0.6457368421052632
MARTIN EGIDIO DAMY,0.697060606060606
TIDE SETUBAL,0.6934166666666667
JUSTINO CARDOSO DR,0.6898333333333333
MARIA AUGUSTA SARAIVA DOUTORA,0.7865333333333333N
EURICO GASPAR DUTRA MARECHAL,0.7259758064516129
LUIZ LAZARO ZAMENHOF DR,0.6898333333333333
NELLO LORENZON,0.7546451612903226
MARIA AUGUSTA CORREA PROFESSORA,0.7062075471698114
MANOEL TABACOW HIDAL PROFESSOR,0.6890508474576271
OTTO DE BARROS VIDAL PROFESSOR,0.6877894736842105
ANTONIO PEREIRA LIMA DR,0.65409375
ESCOLA DE APLICACAO DA FACULDADE DE EDUCACAO DA USP,0.846625
MARIA DE LOURDES ALMEIDA SINISGALLI PROFA,0.65409375
RUTH CABRAL TRONCARELLI PROFESSORA,0.7070833333333333
EMEI ANGELO MARTINO,0.7865333333333333N
EMEI ALCEU MAYNARD DE ARAUJO PROF,0.6977058823529412
EMEI MONTE CASTELO,0.846625
EMEI ABELARDO GALDINO PINTO - PIOLIN,0.7738823529411765
EMEI JOAO THEODORO,0.6977058823529412
EMEI FEIJO REG,0.8016
EMEI ARMANDO DE ARRUDA PEREIRA,0.8081666666666667
EMEI GABRIEL PRESTES,0.9056666666666667
EMEI PATRICIA GALVAO,0.9056666666666667
EMEI PEDRO I D,0.7521153846153846
EMEI MILTON IMPROTA PROF,0.7521153846153846
EMEI TIDE SETUBAL,0.9119565217391304
EMEI ALBERTO DE OLIVEIRA,0.8016
EMEI TAMANDARE ALM,0.8404444444444444
EMEI SANTOS DUMONT,0.8977
EMEI PEDROSO DE MORAES,0.9245555555555556
EMEI AFONSO SARDINHA,0.7411960784313726
EMEI JOSE AUGUSTO CESAR DR,0.7916428571428572
EMEI JOSE BONIFACIO DE ANDRADA E SILVA,0.7916428571428572
EMEI ANISIO TEIXEIRA,0.678825
EMEI BORBA GATO,0.8737777777777778
EMEI PAULO ALVES TTE,0.8719285714285715
EMEI OSWALDO CRUZ,0.8719285714285715
EMEI QUINTINO BOCAIUVA,0.7838
EMEI FRANCISCO ROQUETTI,0.75255
EMEI OTTILIA DE JESUS PIRES PROFA,0.71225
EMEI JOAO ORTALE PROF,0.75255
EMEI ANCHIETA PE,0.75025
EMEI ANA ROSA DE ARAUJO DA,0.8719285714285715
EMEI JOSE DUARTE,0.7313061224489796
EMEI FLORIANO PEIXOTO MAL,0.7070833333333333
EMEI AFRANIO PEIXOTO,0.6934166666666667
EMEI GRACILIANO RAMOS,0.6687931034482758
EMEF CELSO LEITE RIBEIRO FILHO,0.7865333333333333N
EMEF ARTHUR WHITAKER DES,0.7814411764705882
EMEF THEODOMIRO DIAS DES,0.7814411764705882
EMEF CECILIA MEIRELES,0.7062075471698114
EMEF CHIQUINHA RODRIGUES,0.8113181818181818
CEU EMEF CAMPOS SALLES PRES,0.7521153846153846
EMEF CACILDA BECKER,0.7381052631578948
EMEF DILERMANDO DIAS DOS SANTOS,0.7177777777777777
EMEF CAXIAS DUQUE DE,0.8025833333333333
EMEF FABIO DA SILVA PRADO DR,0.8404444444444444
EMEF CARLOS DE ANDRADE RIZZINI,0.8737777777777778
EMEF MARIO RANGEL CEL,0.678825
EMEFM LINNEU PRESTES PROF,0.8737777777777778
EMEF SYLVIA MARTIN PIRES PROFA,0.8022272727272728
EMEF MIGUEL VIEIRA FERREIRA DR,0.6845731707317073
EMEF ALMEIDA JUNIOR PROF,0.83005
EMEF ARTHUR AZEVEDO,0.7838
EMEF KENNEDY PRES,0.75255
EMEF OLIVA IRENE BAYERLEIN SILVA,0.75025
EMEF RUY BARBOSA,0.75025
EMEF ARTHUR ALVIM,0.7137083333333334
EMEF JOAO PINHEIRO PRES,0.7768928571428572
EMEF JOAO DE LIMA PAIVA PROF,0.6824848484848485
EMEF ARTUR NEIVA,0.6355454545454545
EMEF JOANA ANGELICA DE JESUS MADRE,0.6824848484848485
EMEF AYRES MARTINS TORRES,0.7070833333333333
EMEF HAROLDO VELOSO BRIG,0.7070833333333333
EMEF DANYLO JOSE FERNANDES,0.7313061224489796
EMEF AURELIO ARROBAS MARTINS PROF,0.7070833333333333
EMEF HENRIQUE RAYMUNDO DYOTT FONTENELLE BRIG,0.6877894736842105
EMEF CANDIDO PORTINARI,0.6678125
EMEF CARLOS PASQUALE PROF,0.6652340425531914
CEU EMEI INACIO MONTEIRO,0.659
CEU EMEF JAMBEIRO,0.6355454545454545
CEU EMEI THERESINHA SQUINCA DA SILVA PROFA,0.6355454545454545
CEU CEI EVANIR APARECIDA HILARIO PROFA,0.6355454545454545
CEU EMEF VILA ATLANTICA,0.6877894736842105
CEU EMEI VILA ATLANTICA,0.6877894736842105
CEU CEI VILA ATLANTICA,0.6877894736842105
CEU EMEF VILA CURUCA,0.6652340425531914
CEU EMEI APPARECIDO DOMINGUES PROF,0.6652340425531914
CEU CEI ANA LUCIA DE HOLANDA GAMBOA PROFA,0.6652340425531914
CEI INDIR BOM RETIRO,0.7996666666666666
CR P CONV OSLAVIA BRAZ LEONIS,0.8719285714285715
CR P CONV PAULO FREIRE,0.7586224489795919
CONDE DOMINGOS COLEGIO,0.7838
ALPHA CHANNEL - CENTRO DE COMPUTACAO GRAFICA,0.8719285714285715
CR P CONV GIRASSOL,0.7586224489795919
ESC PART PROGRAMA ASSISTENCIAL LUZ E LAPIS,0.8737777777777778
REDE DECISAO UNIDADE ANALIA FRANCO,0.7937142857142857
ESC PART EDUCARE E E I,0.7070833333333333
ESCOLA DE TERAPIAS ORIENTAIS DE SAO PAULO,0.8025833333333333
EMEF SEBASTIAO FRANCISCO O NEGRO,0.7313061224489796
EMEF LUIZ GONZAGA DO NASCIMENTO JR - GONZAGUINHA,0.7521153846153846
EMEF ELZA MAIA COSTA FREIRE PROFA,0.7202738095238095
EMEFM DERVILLE ALLEGRETTI PROF,0.7916428571428572
CENTRO DE ATEND SOCIO-EDUC AO ADOLESCENTE - UIP-9,0.7932222222222223
EMEI MARINA NOGUEIRA DE SOUZA MARTINS,0.7834210526315789
EMEI JOSE ROBERTO DE CASTRO RIBEIRO PROF,0.659
EMEI DULCE SALLES FERRAZ PROFA,0.659
EMEF OLINDA MENEZES SERRA VIDAL PROFA,0.659
EMEBS NEUSA BASSETTO PROFA,0.8404444444444444
SANDRA RODRIGUES DE OLIVEIRA,0.6652340425531914
EMEI LAUDO FERREIRA DE CAMARGO,0.7381052631578948
EMEI SYLVIA VARONI DE CASTRO PROFA,0.7070833333333333
EMEI DALMO DO VALLE NOGUEIRA DES,0.7814411764705882
EMEI BARBARA HELIODORA GUILHERMINA DA SILVEIRA,0.6581499999999999
EMEI CARLOTA PEREIRA DE QUEIROZ,0.659
EMEI MARGARIDA MARIA ALVES,0.659
EMEF MAURICIO GOULART,0.659
EMEF VLADIMIR HERZOG,0.659
EMEFM OSWALDO ARANHA BANDEIRA DE MELLO,0.659
EMEI ADONIRAN BARBOSA,0.659
EMEI ALFREDO DA ROCHA VIANA FILHO - PIXINGUINHA,0.7062075471698114
EMEI ELISA KAUFFMANN ABRAMOVICH,0.659
EMEI KLAUS REINACH ENG,0.659
EMEF AURELIANO LEITE,0.659
EMEF JOSE AUGUSTO CESAR SALGADO DR,0.659
EMEI ALIOMAR BALEEIRO MIN,0.6355454545454545
EMEF GERALDO SESSO JUNIOR,0.697060606060606
EMEF EDA TEREZINHA CHICA MEDEIROS PROFA,0.7162258064516129
EMEF JOSE ERMIRIO DE MORAIS SEN,0.6355454545454545
EMEF JOSE HONORIO RODRIGUES,0.6652340425531914
BERNARDINO DE CAMPOS DOUTOR COLEGIO,0.7738823529411765
ESCOLA CORUJINHA FELIZ,0.7738823529411765
CENTENARIO COLEGIO,0.7738823529411765
LICEU CARVALHO PINTO EIFM,0.7738823529411765
IMPERATRIZ LEOPOLDINA COLEGIO,0.7916428571428572
COLEGIO MARILLAC,0.7916428571428572
MONTEIRO LOBATO COLEGIO,0.7834210526315789
SANTANA COLEGIO EIFM,0.7916428571428572
SAINT LUCAS COLEGIO,0.7916428571428572
AMORIM SANTA TERESA COLEGIO,0.75025
SAO TEODORO DE NOSSA SENHORA DE SION ESCOLA,0.7743658536585366
SAO PAULO DA CRUZ COLEGIO PASSIONISTA,0.82375
ADVENTISTA DE TUCURUVI COLEGIO,0.7916428571428572
PASSIONISTA SANTA GEMA COLEGIO,0.7186301369863014
SANTA CATARINA COLEGIO,0.8404444444444444
ESC PART LEAO XIII C E CULTURAL,0.8404444444444444
SAO JUDAS TADEU COLEGIO,0.8404444444444444
SAO RAFAEL EXTERNATO,0.8404444444444444
SANTA MARIA ESCOLA,0.7061666666666667
